('Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         789317 function calls (764828 primitive calls) in 1.586 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    331/1    0.006    0.000    1.586    1.586 {built-in method builtins.exec}
        1    0.000    0.000    1.586    1.586 financial_enhanced.py:1(<module>)
        1    0.000    0.000    1.420    1.420 financial_enhanced.py:38(main)
        1    0.000    0.000    1.420    1.420 financial_enhanced.py:7(get_financial_data)
        1    0.000    0.000    1.247    1.247 _api.py:174(get)
        1    0.000    0.000    1.247    1.247 _api.py:39(request)
        1    0.000    0.000    1.175    1.175 _client.py:771(request)
        1    0.000    0.000    1.175    1.175 _client.py:879(send)
      247    0.002    0.000    1.009    0.004 http11.py:209(_receive_event)
      291    0.001    0.000    0.992    0.003 sync.py:124(read)
      291    0.000    0.000    0.988    0.003 ssl.py:1226(recv)
      291    0.000    0.000    0.988    0.003 ssl.py:1095(read)
      291    0.987    0.003    0.987    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.958    0.958 _client.py:930(_send_handling_auth)
        1    0.000    0.000    0.958    0.958 _client.py:964(_send_handling_redirects)
        1    0.000    0.000    0.958    0.958 _client.py:1001(_send_single_request)
        1    0.000    0.000    0.956    0.956 default.py:230(handle_request)
        1    0.000    0.000    0.956    0.956 connection_pool.py:199(handle_request)
        1    0.000    0.000    0.955    0.955 connection.py:69(handle_request)
        1    0.000    0.000    0.806    0.806 http11.py:65(handle_request)
        1    0.000    0.000    0.805    0.805 http11.py:170(_receive_response_headers)
       30    0.001    0.000    0.505    0.017 __init__.py:1(<module>)
    300/7    0.001    0.000    0.220    0.031 <frozen importlib._bootstrap>:1349(_find_and_load)
    299/6    0.001    0.000    0.219    0.037 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    269/6    0.001    0.000    0.219    0.036 <frozen importlib._bootstrap>:911(_load_unlocked)
    240/6    0.000    0.000    0.219    0.036 <frozen importlib._bootstrap_external>:989(exec_module)
   614/12    0.000    0.000    0.218    0.018 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.217    0.217 _models.py:876(read)
        5    0.001    0.000    0.217    0.043 {method 'join' of 'bytes' objects}
      246    0.001    0.000    0.216    0.001 _models.py:884(iter_bytes)
      246    0.000    0.000    0.206    0.001 _models.py:935(iter_raw)
      246    0.000    0.000    0.206    0.001 _client.py:152(__iter__)
      246    0.000    0.000    0.205    0.001 default.py:125(__iter__)
      246    0.000    0.000    0.205    0.001 connection_pool.py:401(__iter__)
      246    0.000    0.000    0.205    0.001 http11.py:330(__iter__)
      246    0.001    0.000    0.205    0.001 http11.py:196(_receive_response_body)
        1    0.000    0.000    0.167    0.167 __init__.py:209(__init__)
        1    0.000    0.000    0.166    0.166 __init__.py:650(_feed)
        1    0.000    0.000    0.166    0.166 _htmlparser.py:449(feed)
        1    0.000    0.000    0.166    0.166 parser.py:104(feed)
        2    0.013    0.007    0.166    0.083 parser.py:134(goahead)
        1    0.000    0.000    0.149    0.149 connection.py:105(_connect)
    44/16    0.000    0.000    0.110    0.007 {built-in method builtins.__import__}
        1    0.000    0.000    0.103    0.103 element.py:1(<module>)
        2    0.000    0.000    0.102    0.051 _api.py:1(<module>)
     2772    0.019    0.000    0.101    0.000 parser.py:301(parse_starttag)
      313    0.000    0.000    0.093    0.000 __init__.py:226(compile)
      322    0.002    0.000    0.093    0.000 __init__.py:280(_compile)
      195    0.001    0.000    0.089    0.000 _compiler.py:740(compile)
  156/100    0.000    0.000    0.076    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.075    0.075 sync.py:188(connect_tcp)
        1    0.000    0.000    0.075    0.075 socket.py:810(create_connection)
        1    0.000    0.000    0.074    0.074 sync.py:144(start_tls)
        1    0.000    0.000    0.074    0.074 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.074    0.074 ssl.py:956(_create)
        1    0.000    0.000    0.074    0.074 ssl.py:1313(do_handshake)
        1    0.074    0.074    0.074    0.074 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.071    0.071    0.071    0.071 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.071    0.071 _client.py:639(__init__)
        1    0.000    0.000    0.071    0.071 _client.py:718(_init_transport)
        1    0.000    0.000    0.071    0.071 default.py:136(__init__)
        1    0.000    0.000    0.054    0.054 css.py:1(<module>)
        1    0.000    0.000    0.054    0.054 _client.py:1(<module>)
     2772    0.006    0.000    0.054    0.000 _htmlparser.py:142(handle_starttag)
      195    0.000    0.000    0.054    0.000 _parser.py:969(parse)
 1136/195    0.005    0.000    0.053    0.000 _parser.py:452(_parse_sub)
 4578/233    0.017    0.000    0.052    0.000 _parser.py:512(_parse)
  766/759    0.007    0.000    0.051    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.050    0.050 css_parser.py:1(<module>)
        1    0.000    0.000    0.048    0.048 _auth.py:1(<module>)
        1    0.000    0.000    0.046    0.046 formatter.py:1(<module>)
        1    0.000    0.000    0.046    0.046 dammit.py:1(<module>)
        2    0.000    0.000    0.046    0.023 connection.py:1(<module>)
     2772    0.007    0.000    0.045    0.000 __init__.py:987(handle_starttag)
        1    0.003    0.003    0.038    0.038 dammit.py:128(_populate_class_variables)
        2    0.000    0.000    0.035    0.018 _synchronization.py:1(<module>)
      195    0.000    0.000    0.034    0.000 _compiler.py:573(_code)
     2599    0.006    0.000    0.033    0.000 parser.py:379(parse_endtag)
        1    0.000    0.000    0.028    0.028 css_parser.py:428(CSSParser)
 5116/195    0.012    0.000    0.027    0.000 _compiler.py:37(_compile)
      240    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
       16    0.000    0.000    0.026    0.002 css_parser.py:306(__init__)
     5790    0.006    0.000    0.025    0.000 __init__.py:826(endData)
     2774    0.003    0.000    0.024    0.000 _htmlparser.py:204(handle_endtag)
        1    0.000    0.000    0.024    0.024 request.py:1(<module>)
     2771    0.002    0.000    0.021    0.000 __init__.py:1053(handle_endtag)
     2773    0.006    0.000    0.021    0.000 element.py:1626(__init__)
        1    0.000    0.000    0.020    0.020 _config.py:23(create_ssl_context)
        2    0.000    0.000    0.019    0.010 _models.py:1(<module>)
        1    0.000    0.000    0.018    0.018 client.py:1(<module>)
        1    0.000    0.000    0.018    0.018 ssl.py:683(create_default_context)
      240    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.017    0.017    0.017    0.017 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    25758    0.017    0.000    0.017    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.016    0.008 _sockets.py:1(<module>)
      240    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.015    0.007 parser.py:1(<module>)
      293    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.014    0.014 css_parser.py:326(__init__)
6247/6210    0.003    0.000    0.012    0.000 typing.py:392(inner)
      274    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
     2772    0.008    0.000    0.012    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
      274    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       16    0.000    0.000    0.012    0.001 css_parser.py:1149(process_selectors)
    56/16    0.001    0.000    0.012    0.001 css_parser.py:925(parse_selectors)
        2    0.000    0.000    0.012    0.006 typing_extensions.py:3191(__call__)
        1    0.000    0.000    0.012    0.012 feedparser.py:1(<module>)
      538    0.001    0.000    0.011    0.000 _connection.py:438(next_event)
        1    0.000    0.000    0.011    0.011 _fileio.py:1(<module>)
        2    0.000    0.000    0.011    0.005 http11.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _policybase.py:1(<module>)
        1    0.000    0.000    0.010    0.010 to_thread.py:1(<module>)
      514    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
       24    0.000    0.000    0.010    0.000 dataclasses.py:1257(wrap)
       24    0.001    0.000    0.010    0.000 dataclasses.py:921(_process_class)
        1    0.000    0.000    0.009    0.009 _connection.py:1(<module>)
      245    0.000    0.000    0.009    0.000 _decoders.py:95(decode)
    44/32    0.000    0.000    0.009    0.000 css_parser.py:579(parse_pseudo_class)
    40/31    0.000    0.000    0.009    0.000 css_parser.py:746(parse_pseudo_open)
      245    0.009    0.000    0.009    0.000 {method 'decompress' of 'zlib.Decompress' objects}
67447/61038    0.007    0.000    0.009    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.009    0.004 utils.py:1(<module>)
    82782    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
     2760    0.003    0.000    0.008    0.000 __init__.py:867(object_was_parsed)
    26299    0.005    0.000    0.008    0.000 _parser.py:168(__getitem__)
     2772    0.002    0.000    0.007    0.000 parser.py:345(check_for_whole_start_tag)
        1    0.000    0.000    0.007    0.007 base_events.py:1(<module>)
     2771    0.004    0.000    0.007    0.000 __init__.py:950(_popToTag)
 5072/385    0.004    0.000    0.007    0.000 _parser.py:178(getwidth)
      195    0.001    0.000    0.007    0.000 _compiler.py:511(_compile_info)
  269/266    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
57672/57652    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
     2760    0.003    0.000    0.007    0.000 element.py:1291(__new__)
      693    0.004    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
    11011    0.003    0.000    0.006    0.000 _markupbase.py:44(updatepos)
3792/3668    0.004    0.000    0.006    0.000 {built-in method __new__ of type object at 0xa43b40}
       89    0.000    0.000    0.006    0.000 dataclasses.py:449(_create_fn)
      538    0.001    0.000    0.006    0.000 _connection.py:410(_extract_next_receive_event)
        3    0.001    0.000    0.006    0.002 element.py:1079(_find_all)
      185    0.000    0.000    0.006    0.000 _parser.py:98(closegroup)
4962/4961    0.002    0.000    0.006    0.000 {built-in method builtins.next}
     8293    0.006    0.000    0.006    0.000 element.py:376(setup)
     6103    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
      283    0.001    0.000    0.005    0.000 typing.py:1242(__init__)
    12897    0.003    0.000    0.005    0.000 _parser.py:261(get)
        1    0.000    0.000    0.005    0.005 _events.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _content.py:1(<module>)
      240    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      299    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.005    0.005 _urls.py:1(<module>)
  141/104    0.000    0.000    0.005    0.000 typing.py:508(__getitem__)
        2    0.000    0.000    0.005    0.002 element.py:2692(find)
        2    0.000    0.000    0.005    0.002 element.py:2723(find_all)
      448    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.005    0.005 _multipart.py:1(<module>)
      752    0.002    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
    14778    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
        2    0.000    0.000    0.004    0.002 filter.py:163(find_all)
        2    0.001    0.000    0.004    0.002 filter.py:129(filter)
      104    0.000    0.000    0.004    0.000 typing.py:687(Union)
     2760    0.002    0.000    0.004    0.000 __init__.py:732(string_container)
     8289    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.004    0.004 cookiejar.py:1(<module>)
        1    0.000    0.000    0.004    0.004 css_match.py:1(<module>)
       13    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
     2773    0.003    0.000    0.004    0.000 __init__.py:809(pushTag)
        1    0.000    0.000    0.004    0.004 socket.py:946(getaddrinfo)
        1    0.003    0.003    0.004    0.004 {built-in method _socket.getaddrinfo}
       79    0.000    0.000    0.004    0.000 css_parser.py:472(parse_attribute_selector)
    20965    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
      250    0.001    0.000    0.004    0.000 _connection.py:272(_process_event)
       19    0.002    0.000    0.004    0.000 enum.py:1708(convert_class)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
        2    0.000    0.000    0.003    0.002 _streams.py:1(<module>)
      269    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        2    0.000    0.000    0.003    0.002 readers.py:1(<module>)
      121    0.002    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
        1    0.000    0.000    0.003    0.003 _htmlparser.py:1(<module>)
     2800    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
      480    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
        2    0.000    0.000    0.003    0.002 core.py:1(<module>)
        1    0.000    0.000    0.003    0.003 api.py:1(<module>)
     2003    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
    20601    0.003    0.000    0.003    0.000 _parser.py:240(__next)
     1152    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
    10626    0.002    0.000    0.003    0.000 _parser.py:256(match)
  514/513    0.001    0.000    0.003    0.000 _readers.py:156(__call__)
        1    0.000    0.000    0.003    0.003 cd.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _readers.py:1(<module>)
     8152    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
    11341    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
       34    0.000    0.000    0.003    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.003    0.003 _typing.py:1(<module>)
     2772    0.002    0.000    0.003    0.000 __init__.py:786(popTag)
      525    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
    14399    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     1152    0.003    0.000    0.003    0.000 {built-in method posix.stat}
       93    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
    14538    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
     10/8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1287(create_module)
     2936    0.001    0.000    0.002    0.000 filter.py:721(match)
